Year,Category,Gender,Ethnicity
1928,6,1,4
1928,8,2,4
1928,37,1,4
1928,10,1,4
1928,10,1,4
1928,16,1,4
1928,17,1,4
1928,21,1,4
1928,9,1,4
1928,40,1,4
1928,42,1,4
1928,42,1,4
1928,42,1,4
1928,40,1,4
1928,40,1,4
1929,6,1,4
1929,8,2,4
1929,37,1,4
1929,10,1,4
1929,15,1,4
1929,9,1,4
1929,42,1,4
1930,6,1,4
1930,8,2,4
1930,37,1,4
1930,10,1,4
1930,15,1,4
1930,9,1,4
1930,39,1,4
1930,42,2,4
1931,6,1,4
1931,8,2,4
1931,37,1,4
1931,10,1,4
1931,15,1,4
1931,9,1,4
1931,39,1,4
1931,42,1,4
1931,42,1,4
1932,6,1,4
1932,6,1,4
1932,8,2,4
1932,37,1,4
1932,10,1,4
1932,15,1,4
1932,9,1,4
1932,38,1,4
1932,38,1,4
1932,38,1,4
1932,39,1,4
1932,42,1,4
1932,42,2,4
1932,40,1,4
1933,6,1,4
1933,8,2,4
1933,37,1,4
1933,5,1,4
1933,5,1,4
1933,5,1,4
1933,5,1,4
1933,5,1,4
1933,5,1,4
1933,5,1,4
1933,10,1,4
1933,15,1,4
1933,9,1,4
1933,38,1,4
1933,38,1,4
1933,38,1,4
1933,39,1,4
1933,42,2,4
1933,42,1,4
1935,6,1,4
1935,8,2,4
1935,37,1,4
1935,5,1,4
1935,10,1,4
1935,15,1,4
1935,22,1,4
1935,36,1,4
1935,36,1,4
1935,9,1,4
1935,38,1,4
1935,38,1,4
1935,38,1,4
1935,39,1,4
1935,42,1,4
1935,42,1,4
1935,40,2,4
1936,6,1,4
1936,8,2,4
1936,37,1,4
1936,5,1,4
1936,10,1,4
1936,14,1,4
1936,15,1,4
1936,22,1,4
1936,36,1,4
1936,36,1,4
1936,9,1,4
1936,38,1,4
1936,38,1,4
1936,38,1,4
1936,39,1,4
1936,42,1,4
1936,42,1,4
1936,40,1,4
1937,6,1,4
1937,7,1,4
1937,8,2,4
1937,1,2,4
1937,37,1,4
1937,5,1,4
1937,10,1,4
1937,14,1,4
1937,15,1,4
1937,22,1,4
1937,36,1,4
1937,36,2,4
1937,9,1,4
1937,38,1,4
1937,38,1,4
1937,38,1,4
1937,38,1,4
1937,39,1,4
1937,42,1,4
1937,42,1,4
1937,40,1,4
1937,40,1,4
1938,6,1,4
1938,7,1,4
1938,8,2,4
1938,1,2,4
1938,37,1,4
1938,5,1,4
1938,10,1,4
1938,14,1,4
1938,15,1,4
1938,22,1,4
1938,36,1,4
1938,36,1,4
1938,9,1,4
1938,38,1,4
1938,38,1,4
1938,38,1,4
1938,38,1,4
1938,39,1,4
1938,42,1,4
1938,42,1,4
1938,40,1,4
1938,40,1,4
1938,40,1,4
1938,40,1,4
1938,27,1,4
1939,6,1,4
1939,7,1,4
1939,8,2,4
1939,1,2,4
1939,37,1,4
1939,10,1,4
1939,15,1,4
1939,22,1,4
1939,35,1,4
1939,36,1,4
1939,36,1,4
1939,9,1,4
1939,38,1,4
1939,38,1,4
1939,38,1,4
1939,39,1,4
1939,42,2,4
1939,42,1,4
1939,40,2,4
1939,40,1,4
1939,40,1,4
1939,40,1,4
1939,40,1,4
1939,40,1,4
1939,27,1,4
1940,6,1,4
1940,7,1,4
1940,8,2,4
1940,1,2,2
1940,37,1,4
1940,10,1,4
1940,10,1,4
1940,15,1,4
1940,22,1,4
1940,35,1,4
1940,36,1,4
1940,36,1,4
1940,9,1,4
1940,38,1,4
1940,38,1,4
1940,38,1,4
1940,39,1,4
1940,40,1,4
1940,42,1,4
1940,42,1,4
1940,40,1,4
1940,40,1,4
1940,40,2,4
1940,40,1,4
1940,40,1,4
1940,27,1,4
1941,6,1,4
1941,7,1,4
1941,8,2,4
1941,1,2,4
1941,3,1,4
1941,4,1,4
1941,10,1,4
1941,10,1,4
1941,15,1,4
1941,22,2,4
1941,35,1,4
1941,36,1,4
1941,36,1,4
1941,9,1,4
1941,38,1,4
1941,38,1,4
1941,38,1,4
1941,39,1,4
1941,40,1,4
1941,42,1,4
1941,42,1,4
1941,42,1,4
1941,40,1,4
1941,40,1,4
1942,6,1,4
1942,7,1,4
1942,8,2,4
1942,1,2,4
1942,3,1,4
1942,4,1,4
1942,10,1,4
1942,10,1,4
1942,15,1,4
1942,20,1,4
1942,22,1,4
1942,32,1,4
1942,36,1,4
1942,36,1,4
1942,9,1,4
1942,38,1,4
1942,38,1,4
1942,38,1,4
1942,39,1,4
1942,40,1,4
1942,42,1,4
1942,42,1,4
1942,42,1,4
1942,40,1,4
1942,40,1,4
1942,40,1,4
1942,40,1,4
1942,27,1,4
1943,6,1,4
1943,7,1,4
1943,8,2,4
1943,1,2,4
1943,3,1,4
1943,4,1,4
1943,10,1,4
1943,10,1,4
1943,15,1,4
1943,18,1,4
1943,18,1,4
1943,18,1,4
1943,18,1,4
1943,22,1,4
1943,32,1,4
1943,36,1,4
1943,36,1,4
1943,9,1,4
1943,38,1,4
1943,38,1,4
1943,38,1,4
1943,39,1,4
1943,40,1,4
1943,42,1,4
1943,42,1,4
1943,42,2,4
1943,40,1,4
1943,40,1,4
1943,40,1,4
1943,27,1,4
1944,6,1,4
1944,7,1,4
1944,8,2,4
1944,1,2,4
1944,3,1,4
1944,4,1,4
1944,10,1,4
1944,10,1,4
1944,15,1,4
1944,19,1,4
1944,20,1,4
1944,22,1,4
1944,32,1,4
1944,36,1,4
1944,36,1,4
1944,9,1,4
1944,38,1,4
1944,38,1,4
1944,38,1,4
1944,39,1,4
1944,40,1,4
1944,42,1,4
1944,42,1,4
1944,42,1,4
1944,40,1,4
1944,27,1,4
1945,6,1,4
1945,7,1,4
1945,8,2,4
1945,1,2,4
1945,3,1,4
1945,4,1,4
1945,10,1,4
1945,10,1,4
1945,15,1,4
1945,19,1,4
1945,20,1,4
1945,22,2,4
1945,32,1,4
1945,36,1,3
1945,36,1,4
1945,9,1,4
1945,38,1,4
1945,38,1,4
1945,38,1,4
1945,39,1,4
1945,40,1,4
1945,42,1,4
1945,42,1,4
1945,42,1,4
1945,40,2,4
1945,40,1,4
1945,27,1,4
1946,6,1,4
1946,7,1,4
1946,8,2,4
1946,1,2,4
1946,3,1,4
1946,4,1,4
1946,10,1,4
1946,10,1,4
1946,15,1,4
1946,19,1,4
1946,20,1,4
1946,22,1,4
1946,32,1,4
1946,36,1,4
1946,36,1,4
1946,9,1,4
1946,38,1,4
1946,38,1,4
1946,38,1,4
1946,39,1,4
1946,40,1,4
1946,42,1,4
1946,42,1,4
1946,42,1,4
1946,40,1,4
1946,40,2,4
1946,40,1,4
1946,40,1,4
1947,6,1,4
1947,7,1,4
1947,8,2,4
1947,1,2,4
1947,3,1,4
1947,4,1,4
1947,10,1,4
1947,10,1,4
1947,15,1,4
1947,20,1,4
1947,22,1,4
1947,32,1,4
1947,36,1,4
1947,36,1,4
1947,9,1,4
1947,38,1,4
1947,38,1,4
1947,38,1,4
1947,39,1,4
1947,40,1,4
1947,42,1,4
1947,42,2,4
1947,42,1,4
1947,40,1,4
1947,40,1,4
1947,40,1,4
1947,40,1,4
1947,27,1,4
1948,6,1,4
1948,7,1,4
1948,8,2,4
1948,1,2,4
1948,3,1,4
1948,4,1,4
1948,10,1,4
1948,10,1,4
1948,15,1,4
1948,19,1,4
1948,20,1,4
