year,asian,black,hispanic,white,male,female
1928,0,0,0,15,14,1
1929,0,0,0,8,7,1
1930,0,0,0,8,6,2
1931,0,0,0,9,8,1
1932,0,0,0,14,12,2
1933,0,0,0,19,17,2
1935,0,0,0,17,15,2
1936,0,0,0,18,17,1
1937,0,0,0,22,19,3
1938,0,0,0,25,23,2
1939,0,0,0,25,21,4
1940,0,1,0,25,23,3
1941,0,0,0,24,21,3
1942,0,0,0,28,26,2
1943,0,0,0,30,27,3
1944,0,0,0,26,24,2
1945,0,0,1,26,23,4
1946,0,0,0,28,25,3
1947,0,0,0,28,25,3
1948,0,1,0,27,25,3
1949,0,0,0,32,27,5
1950,0,0,1,31,28,4
1951,0,0,1,29,25,5
1952,0,0,0,29,25,4
1953,0,0,1,32,30,3
1954,0,0,0,31,28,3
1955,1,0,1,31,29,4
1956,1,0,0,26,22,5
1957,1,0,1,28,27,3
1958,1,0,0,24,23,2
1959,0,0,0,25,22,3
1960,0,0,0,28,25,3
1961,0,0,0,29,25,4
1962,0,0,1,29,27,3
1963,0,0,0,26,20,6
1964,1,1,0,25,24,3
1965,0,0,0,27,24,3
1966,0,0,0,29,25,4
1967,0,0,0,30,26,4
1968,0,0,1,25,24,2
1969,0,0,0,26,19,7
1970,0,0,0,24,19,5
1971,0,0,0,26,23,3
1972,0,1,2,20,20,3
1973,0,0,0,23,22,3
1974,0,0,0,25,20,5
1975,0,0,0,25,22,3
1976,0,0,0,26,20,6
1977,0,0,1,23,18,6
1978,0,0,0,27,22,5
1979,0,0,0,27,22,5
1980,0,0,0,27,24,3
1981,0,0,0,22,19,3
1982,0,0,0,26,20,6
1983,2,1,0,23,19,7
1984,0,1,0,24,17,8
1985,2,2,0,23,22,5
1986,1,1,1,23,20,6
1987,0,1,0,25,17,8
1988,1,0,0,23,18,6
1989,0,1,1,24,22,4
1990,1,2,0,22,20,5
1991,0,2,0,24,19,7
1992,1,0,1,23,18,7
1993,2,0,0,24,16,10
1994,0,0,0,25,17,8
1995,0,1,0,26,17,10
1996,0,0,2,25,21,6
1997,2,1,0,23,20,6
1998,1,0,0,24,20,5
1999,1,0,0,25,20,6
2000,0,0,1,24,19,6
2001,4,0,1,21,20,6
2002,0,3,1,23,21,6
2003,1,0,2,22,19,6
2004,0,0,0,25,18,7
2005,0,2,2,22,18,8
2006,1,1,1,22,17,8
2007,1,3,2,20,17,9
2008,0,0,0,25,15,10
2009,5,0,0,20,22,3
2010,0,3,2,23,19,9
2011,1,0,0,27,21,7
2012,2,3,0,22,21,6
2013,1,1,0,27,21,8
2014,1,3,3,21,18,10
2015,1,2,4,21,19,9
2016,1,1,4,21,15,12
2017,2,4,0,22,20,8
2018,1,3,4,21,23,6
2019,3,7,3,15,17,11
2020,5,1,1,21,18,10
